NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Sturnus vulgaris Linnaeus, 1758;Étourneau sansonnet;CHATENAY MALABRY;92019;2006-11-05
Sylvia atricapilla (Linnaeus, 1758);Fauvette à tête noire;CHATENAY MALABRY;92019;2006-11-05
Troglodytes troglodytes (Linnaeus, 1758);Troglodyte mignon;CHATENAY MALABRY;92019;2006-11-05
Apus apus (Linnaeus, 1758);Martinet noir;CHATENAY MALABRY;92019;2006-05-17
Sturnus vulgaris Linnaeus, 1758;Étourneau sansonnet;CHATENAY MALABRY;92019;2006-05-17
Turdus merula Linnaeus, 1758;Merle noir;CHATENAY MALABRY;92019;2006-05-17
Sylvia borin (Boddaert, 1783);Fauvette des jardins;CHATENAY MALABRY;92019;2006-05-22
Turdus merula Linnaeus, 1758;Merle noir;CHATENAY MALABRY;92019;2006-05-22
Certhia brachydactyla C.L. Brehm, 1820;Grimpereau des jardins;CHATENAY MALABRY;92019;2006-05-23
Dendrocopos major (Linnaeus, 1758);Pic épeiche;CHATENAY MALABRY;92019;2006-05-23
Parus caeruleus Linnaeus, 1758;Mésange bleue;CHATENAY MALABRY;92019;2006-05-23
Pica pica (Linnaeus, 1758);Pie bavarde;CHATENAY MALABRY;92019;2006-05-23
Regulus regulus (Linnaeus, 1758);Roitelet huppé;CHATENAY MALABRY;92019;2006-05-23
Apus apus (Linnaeus, 1758);Martinet noir;CHATENAY MALABRY;92019;2006-01-06
Certhia brachydactyla C.L. Brehm, 1820;Grimpereau des jardins;CHATENAY MALABRY;92019;2006-01-06
Columba palumbus Linnaeus, 1758;Pigeon ramier;CHATENAY MALABRY;92019;2006-01-06
Pyrrhula pyrrhula (Linnaeus, 1758);Bouvreuil pivoine;CHATENAY MALABRY;92019;2006-01-06
Troglodytes troglodytes (Linnaeus, 1758);Troglodyte mignon;CHATENAY MALABRY;92019;2006-01-06
Delichon urbica (Linnaeus, 1758);Hirondelle de fenêtre;CHATENAY MALABRY;92019;2006-02-06
